id,name,artists,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
4PT82pJvrb0Ck3CfHoXLw6,NeverChanger (feat. Ulrich Schnauss) - Live Mix,"['A Shoreline Dream', 'Ulrich Schnauss']",-0.27990834959222083,-1.7138005773221165,1.3352946391266747,0.7433602191739778,-0.1111978196434797,-1.146835509026134,1.8325156892231016,-0.5331194418391202,-1.0406161087361732,0.3274400940214119,2009
4i01bjmIKWGuJ9Oi06zaOv,Two Things at Once (Part 1),['Uranium Club'],-0.27990834959222083,-0.5201866785889265,0.7769944751282332,0.8552216697679247,-0.4750596811273802,-0.6819345728519506,-0.7037019231410098,0.6358730015856083,0.024642771271135927,-0.6095426946197742,2019
036MW4sEczNh2b2uW9kWxB,Celebrate Your Life,['Grace Brancale'],-0.27990834959222083,0.38948382573196366,0.2119270364146591,-0.24013592743836465,-0.42745158710144926,0.7060613152411949,1.32268338093618,-0.3645147624990151,0.20280453517479732,0.07583957667058033,2018
2swhumf7pot52pWLO4bebC,This Christmas,['Straight No Chaser'],-0.27990834959222083,0.010892633182229017,-0.6204477535466536,-0.004285190408014689,-0.46315765762089744,0.8588444447141339,-0.7641949794092506,0.9674622042878156,0.4329301468836936,-0.8915766762935705,2008
7o3vUVAbaN1oPmjtQ7cquv,Do You Want to Dance - 2008 Remaster,['Bette Midler'],-0.27990834959222083,-0.5096702565736555,-0.32268766608081795,0.5146435032274256,-0.4461547668973507,0.2244060257163346,-0.7641627516674833,-0.7331969946560448,0.4848939946889278,1.3287430251818646,2008
2rc0P81wdJ7oUmKhpgloXb,Глава 4. Творец,['Cream Soda'],-0.27990834959222083,0.22647928449527235,-0.5121713581045313,-0.6028295593386366,1.3034426885556099,0.6076586216823524,-0.7641949794092506,-0.5387395978171238,-1.251812033030305,0.021298161287960474,2020
3AmLbtJklzWbHlu7BtA7Ln,Echium - Guitar Version,['Morthound'],-0.27990834959222083,1.3569946511368394,1.189798232751323,-0.4045037732090624,-0.431702309782336,-0.8813295045369733,1.280417490093741,0.46164816626749955,0.7335781234711222,0.7193960051586415,2014
4TuQNHpkyGSYsAsWbGDDpL,Bye Rodney,['Makeup And Vanity Set'],-0.27990834959222083,-1.9504200726657002,-1.239653389981288,-2.5367199947345003,-0.2778261487342379,1.0867243666398747,1.6238278531885586,-0.5162589739051097,-1.4333143300071602,-1.3299089270194548,2020
4pGAV5yxN7yFrJtVrC2Uf2,Black River Song,['Angels Of Light'],-0.27990834959222083,-1.3562422288029228,0.44878165144430104,0.34699400775818096,-0.29822961760249395,-1.0690714856689754,-0.7641949794092506,-0.7489334313944548,0.31415563761458587,-1.484109449326057,2007
45sFfCbQRoaRd8IH8IzdeB,"Acis and Galatea, HWV 49: Acis and Galatea, HWV 49: 2. Chorus. Oh, the Pleasure of the Plains!","['George Frideric Handel', 'Dunedin Consort', 'Players']",-0.27990834959222083,-0.04168947689412302,-0.9791133134486822,-0.8515215343198222,-0.36369074688814895,1.3612160907776978,-0.7634315517559092,0.3998264505094613,0.08774172932034942,-1.097607679727089,2009
5eikrlZqaESkSojNgaYK8Y,Knives Out,['ELEW'],-0.27990834959222083,-1.156430210512785,0.24237977263275592,0.07376100024873156,-0.40024696194377446,1.3353206451043182,1.5577873987472475,-0.39823569836703615,-1.348687492152921,-0.29901163023423044,2010
6reuJxDtjebwc9FB6rNpp0,Don't Blink,['Kenny Chesney'],-0.27990834959222083,0.5840376330144657,0.3168197944992148,0.45985422130385967,-0.42915187617380396,-0.8528445142962559,-0.7641627516674833,0.5909117537615802,0.8300824122522722,0.9769670324773936,2007
1NgnGHAy3bEDE07dwiuJB9,I'm Confessin That I Love You,['Duke Robillard & Sunny Crownover'],-0.27990834959222083,-0.3098582382835181,-0.6238313909042196,0.11599440506481373,-0.434252743390868,1.1203884460152678,-0.7543153274248304,-0.4881581940150922,-1.0072107780042365,-0.2713859192475308,2010
1z0IQEr74qEb2XR7FFd7rk,Look What They've Done To My Nikola,['Johnette Napolitano'],-0.27990834959222083,-0.00488199984067601,-0.4512658856683381,0.11642244632984135,0.009522704493702277,0.9417098708689486,-0.7641572042693102,0.8269583048377273,-0.08670833116865237,-1.4246625338616865,2006
4ECztrxuAMsINqTPigQ0GS,"Gin Ye Kis My Wife, I'll Tell the Minister","['Abby Newton', 'Alasdair Fraser', 'Kim Robertson', 'Paul Machlis']",-0.27990834959222083,-1.1091063114440685,-1.675465881635829,-2.193573580603834,-0.3228838091516368,1.4000592592877672,0.8234175453598681,-0.4712977260810823,-0.9626703370283216,-0.43733382332885123,1997
5Tv44U5ITqnbS2jUNeAfdC,Delivering Africa,['Songs To Your Eyes'],-0.27990834959222083,0.7680750182816978,1.0747545625940689,0.3331540068556136,-0.4589069349400108,-0.8321281577575521,1.5472209260366376,-0.0554061837088225,0.2584800863946916,-0.24721342213416866,2020
0WQSD53AM3JKi8zmOD0BWb,"The Antimatter Formula, Pt. 7",['Aidan Baker'],-0.27990834959222083,-0.21521044014608445,0.7702272004131009,0.4271804047400666,-0.41724985266732123,-1.0851266619864706,1.792891416558315,-0.5274992858611167,0.38096629907845897,0.6737942182144753,2012
2RYs0n1qL0WKKFX8cJVN5b,Last Call,['Euge Groove'],-0.27990834959222083,0.2948360275945294,-0.07229850162091091,0.7208167125491772,-0.5073651735021191,0.47041275961344053,1.4626891443517593,-0.1340883674008716,-0.7028510980021487,0.45256261913290186,2017
51ru7ygauaPw0fz1PbPu31,"Losing My Mind (From ""Follies"") / You Could Drive a Person Crazy (From ""Company"")","['Dorothy Laudon', 'Dorothy Loudon', 'Paul Gemignani']",-0.27990834959222083,-0.4518299354896686,-1.029867873812177,-0.5561730614506,0.3937880348458589,1.2084329613047584,-0.7641865790634458,4.283354231309882,-1.0554629223948115,-0.6082195005187758,1993
3W83AVbP9kWjCM2KKp46cr,Change,['Sisare'],-0.27990834959222083,0.22122107348763714,0.00890879496068063,0.5112191731072026,-0.4759098256635575,-0.904635405643015,-0.7639783667186831,1.1135862597159054,-1.0925799565414078,-0.24643886948968172,2013
2sb0QlKRWBquPMyvdwodMV,"6 Partsongs, RT IV No. 1: No. 6. Her ute skal gildet staa (Here We Shall Feast)","['Frederick Delius', 'The Carice Singers', 'George Parris']",-0.27990834959222083,-1.4403736049250866,-1.3310115986355786,-1.4232419839753647,-0.3874947939011144,1.418186071259133,-0.7546587377879254,-0.29707289076297316,-1.4051053840557473,-1.3579219143283978,2017
1zu4zCSQipwSly4LmXuNdd,Dr. Amor,['Los Sencillos'],-0.27990834959222083,0.7154929082053457,1.474023770786893,1.1183243673383816,-0.35944002420726223,-1.1123168799435192,-0.7620658351580628,-0.8978675648115475,1.657792273721366,0.2739636885249611,1993
3G8W7FdOe4Pl1Ft0FBMQK7,Miroirs: II. Oiseaux tristes,"['Maurice Ravel', 'Melvyn Tan']",-0.27990834959222083,-0.9986838802837292,-1.6950909783097137,-2.6123406182227544,-0.33478583265811945,1.4207756158264708,1.716284489406394,-0.6376543430299854,-1.4292314562510346,0.1733363907953702,2019
48WTGGIeSFD5ZMF51Rm4Y9,Another Lifetime,['Nao'],-0.27990834959222083,-0.21521044014608445,-0.6576677644798826,0.3332966872772895,-0.3220336646154594,-0.07598114409486857,-0.764155355136586,-0.08912711957684354,-0.5618063682450829,-1.8748067124159957,2018
22z7ksCUGpcebUw0IdsecT,"Love, Love, Love",['The Low Stars'],-0.27990834959222083,1.2045065319154191,0.9021890573581868,0.7676158908588897,-0.4223507198843853,-0.6819345728519506,-0.7637987366826028,-0.6893597780276176,0.8746228532281876,-0.15074934486869457,2007
6qI9VTOcEfd1TyzZiRjqEv,Coriander,['Harding'],-0.27990834959222083,1.1939901099001486,-0.004625754469584626,0.3063300875805344,-0.441904044216464,-0.08892886693155838,-0.764128146469356,-0.4544372581470712,1.2680634151821066,0.003612542572175963,2007
1bg4wuwdjg4iOlPjOH6BWP,"Rachmaninov: 6 Romances, Op. 38: V. Dream","['Sergei Rachmaninoff', 'Elsa Dreisig']",-0.27990834959222083,-0.8514539720699434,-1.5766636707948927,-1.494582194813341,-0.3466878561646022,1.4207756158264708,-0.48946668893339657,-0.624165968682777,-1.2967236443476864,-1.7261894237550701,2020
